acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,Max Search Time Delta
0.0232,['Ed Sheeran'],0.461,261154,0.8340000000000001,0,6PCUP3dWmTjcTtXY02oFdT,1.14e-05,2,0.14,-4.868,1,Castle on the Hill,77,2017-03-03,0.0989,135.007,0.471,2017,134006400.0
0.747,['StaySolidRocky'],0.73,147800,0.439,0,3IJYUaN3tx04S4TYyZHKoP,0.0,6,0.0988,-9.864,0,Party Girl,76,2020-07-15,0.0609,130.09,0.615,2020,236649600.0
0.174,"['Mustard', 'Migos']",0.682,192471,0.5589999999999999,1,3j84U36KvLeXNDPv4t5pI8,0.0,0,0.344,-5.545,1,Pure Water (with Migos),78,2019-06-28,0.127,202.015,0.13699999999999998,2019,
0.0765,['Khalid'],0.596,229320,0.552,0,6zeeWid2sgw4lap2jV61PZ,0.334,0,0.104,-10.278,0,Better,76,2018-10-18,0.097,97.949,0.112,2018,194486400.0
0.0573,['Shawn Mendes'],0.622,211360,0.7120000000000001,0,2QZ7WLBE8h2y1Y5Fb8RYbH,0.0,5,0.13,-7.3210000000000015,1,In My Blood,77,2018-05-25,0.066,140.025,0.487,2018,89424000.0
0.252,['Pop Smoke'],0.7390000000000001,158466,0.616,1,5kkaSMcf4BFlhRRICCKZb6,1.93e-06,7,0.101,-6.962999999999999,0,Something Special,76,2020-07-03,0.0338,91.071,0.654,2020,23673600.0
0.0589,['Drake'],0.835,217925,0.626,1,2G7V7zsVDxg1yRsu7Ew9RJ,6e-05,1,0.396,-5.8329999999999975,1,In My Feelings,78,2018-06-29,0.125,91.03,0.35,2018,86832000.0
0.269,"['Roddy Ricch', 'Mustard']",0.831,220487,0.499,1,07KXEDMj78x68D884wgVEm,0.0,11,0.3,-8.442,0,High Fashion (feat. Mustard),81,2019-12-06,0.114,97.956,0.511,2019,
0.00121,['The Killers'],0.35200000000000004,222973,0.911,0,003vvx7Niy0yvhvHt4a68B,0.0,1,0.0995,-5.23,1,Mr. Brightside,80,2004,0.0747,148.033,0.236,2004,507600000.0
0.0738,['Demi Lovato'],0.504,210840,0.785,0,1V6gIisPpYqgFeWbMLI0bA,0.0,8,0.239,-4.802,1,Heart Attack,76,2013-01-01,0.104,173.968,0.502,2013,252460800.0
0.0119,['CORPSE'],0.644,97317,0.883,1,4SPBwOTXgku4QvmRtMEGfW,0.0,1,0.377,-6.985,1,Cat Girls Are Ruining My Life!,76,2020-03-11,0.473,164.158,0.522,2020,
0.000532,['Harry Styles'],0.535,362653,0.521,0,6SQLk9HSNketfgs2AyIiMs,0.371,0,0.19,-5.942,1,She,79,2019-12-13,0.0272,140.026,0.457,2019,18316800.0
0.12,"['Future', 'Lil Uzi Vert']",0.94,228796,0.532,1,5n6gBhdEjCuj3obgCoTEFD,0.0,11,0.0925,-5.9979999999999976,0,That’s It,76,2020-11-13,0.358,123.043,0.599,2020,28944000.0
0.00473,"['Machine Gun Kelly', 'blackbear']",0.731,139461,0.675,1,7kDUspsoYfLkWnZR7qwHZl,0.0,5,0.141,-5.134,0,my ex's best friend (with blackbear),87,2020-09-25,0.0434,124.939,0.298,2020,
0.0183,"['K/DA', 'Madison Beer', '(G)I-DLE', 'Jaira Burns', 'League of Legends']",0.5660000000000001,191100,0.769,0,5sbooPcNgIE22DwO0VNGUJ,0.0,7,0.108,-4.342,1,POP/STARS,76,2018-11-03,0.0872,170.03599999999997,0.385,2018,76204800.0
