id,acousticness,name,artists,danceability,duration_ms,energy,explicit,instrumentialness key,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year,Sampled Times,CoveredTimes,Remix Times,Remix of ,Sample of,Cover Of
4vircrVSGNJsFavtLUF29K,0.947,Dichter und Bauer: Ouvertüre,"['Franz von Suppé', 'Riccardo Muti', 'Wiener Philharmoniker']",0.233,641453,0.131,0,0.928,2,0.0903,-15.626,1,32,2021-01-08,0.0411,149.727,0.1,2021,-1,-1,-1,-1,-1,-1
4vircrVSGNJsFavtLUF29K,0.947,Dichter und Bauer: Ouvertüre,"['Franz von Suppé', 'Riccardo Muti', 'Wiener Philharmoniker']",0.233,641453,0.131,0,0.928,2,0.0903,-15.626,1,32,2021-01-08,0.0411,149.727,0.1,2021,-1,-1,-1,-1,-1,-1
0CfPMZ1DSdzglsMRpLDM2H,0.11,Only Thing That’s Gone (feat. Chris Stapleton),"['Morgan Wallen', 'Chris Stapleton']",0.5,196707,0.803,0,2.12E-05,2,0.296,-4.591,1,75,2021-01-08,0.032,150.058,0.451,2021,-1,-1,-1,-1,-1,-1
5uEYRdEIh9Bo4fpjDd4Na9,0.418,Goosebumps - Remix,"['Travis Scott', 'HVME']",0.841,162803,0.593,1,0,1,0.124,-7.846,1,79,2021-01-15,0.0379,124.917,0.808,2021,8,2,1,-1,-1,-1
4xv9BDq764NSKG3geku9X2,0.371,Wasted On You,['Morgan Wallen'],0.505,178520,0.658,0,0.00136,11,0.121,-5.24,0,56,2021-01-08,0.0318,196.002,0.255,2021,-1,-1,-1,-1,-1,-1
1AYmmIcOxfl9RmEul8lD8q,0.0464,Got What It Takes - Extended Mix,['Martina Budde'],0.733,284863,0.943,0,0.0705,5,0.12,-3.981,0,0,2021-01-15,0.0807,123.004,0.927,2021,-1,-1,-1,-1,-1,-1
1AYmmIcOxfl9RmEul8lD8q,0.0464,Got What It Takes - Extended Mix,['Martina Budde'],0.733,284863,0.943,0,0.0705,5,0.12,-3.981,0,0,2021-01-15,0.0807,123.004,0.927,2021,-1,-1,-1,-1,-1,-1
23V03OIpI0BpblCZredJGe,0.411,7 Summers,['Morgan Wallen'],0.467,210507,0.793,0,5.87E-05,0,0.125,-5.125,1,55,2021-01-08,0.0329,203.926,0.574,2021,-1,-1,-1,-1,-1,-1
4qeMbs55QlONyrE9YBMA93,0.587,Sand In My Boots,['Morgan Wallen'],0.354,202133,0.54,0,0,3,0.112,-6.625,1,54,2021-01-08,0.0323,69.97,0.416,2021,-1,-1,-1,-1,-1,-1
0R8ShcBTOvXjKCsp0Mu0Hx,0.207,Dangerous,['Morgan Wallen'],0.636,147893,0.779,0,0,7,0.273,-4.794,1,54,2021-01-08,0.0273,119.015,0.956,2021,-1,-1,-1,-1,-1,-1
3lb2f27695Iuyd82khwU9k,0.729,865,['Morgan Wallen'],0.454,190680,0.586,0,0,8,0.101,-5.254,1,53,2021-01-08,0.0253,87.891,0.366,2021,-1,-1,-1,-1,-1,-1
0G8OqrEOwuVf0R8KwQeT82,0.315,Intentions,"['Justin Bieber', 'Quavo']",0.813,212869,0.554,0,0,9,0.105,-6.631,1,4,2021-01-22,0.0544,148.011,0.86,2021,1,5,-1,-1,-1,-1
5ylcoCAg9gr1pOgJm9xmpb,0.0007,Friiesel,"['Jay Frog', 'E.M.C.K.']",0.909,309120,0.777,0,0.628,4,0.0681,-2.694,0,0,2021-01-15,0.212,125.011,0.497,2021,-1,-1,-1,-1,-1,-1
5ylcoCAg9gr1pOgJm9xmpb,0.0007,Friiesel,"['Jay Frog', 'E.M.C.K.']",0.909,309120,0.777,0,0.628,4,0.0681,-2.694,0,0,2021-01-15,0.212,125.011,0.497,2021,-1,-1,-1,-1,-1,-1
0aLmSfyXwZ8iCbbBYUrzwL,0.345,Yummy,['Justin Bieber'],0.677,208520,0.506,0,0,9,0.118,-6.652,0,11,2021-01-22,0.0964,145.843,0.497,2021,2,3,2,-1,-1,-1
0yC0FITBwnQJWzw5aeGDuS,0.0878,Sorry,['Justin Bieber'],0.679,200787,0.748,0,0,0,0.299,-3.624,0,3,2021-01-22,0.0385,100.035,0.438,2021,17,46,1,-1,-1,-1
1giUyaadk4Dh3WWwpJltPq,0.692,That's What Love Is,['Justin Bieber'],0.638,165120,0.437,0,0,9,0.12,-6.959,1,1,2021-01-22,0.0356,147.576,0.75,2021,-1,-1,-1,-1,-1,-1
2EliNOReCRCe1ynR6G8yeT,0.921,champagne problems,['Taylor Swift'],0.462,244000,0.242,1,0,0,0.113,-12.077,1,54,2021-01-21,0.0376,171.352,0.32,2021,-1,1,-1,-1,1,-1
39dK25ZpNzxydpBTUjz5ot,0.82,coney island (feat. The National),"['Taylor Swift', 'The National']",0.542,275320,0.536,0,0.000886,8,0.142,-11.279,1,50,2021-01-21,0.0616,107.868,0.296,2021,-1,-1,-1,-1,-1,-1
0F89tJpOAsa1TmpK7uLfzf,0.000773,Your Body (On Fire),"['Block & Crown', 'the Giver']",0.85,340328,0.56,0,0.0315,0,0.209,-3.775,1,0,2021-01-15,0.0481,122.003,0.747,2021,-1,-1,-1,-1,-1,-1
0F89tJpOAsa1TmpK7uLfzf,0.000773,Your Body (On Fire),"['Block & Crown', 'the Giver']",0.85,340328,0.56,0,0.0315,0,0.209,-3.775,1,0,2021-01-15,0.0481,122.003,0.747,2021,-1,-1,-1,-1,-1,-1
3poSxEb3c3s4Hwy2RbwMc6,0.877,tolerate it,['Taylor Swift'],0.312,245440,0.361,1,1.90E-05,9,0.0822,-10.397,1,51,2021-01-21,0.0512,72.801,0.224,2021,-1,-1,-1,-1,-1,-1
4m0RlgTYNDpJ4KPpBYsspx,0.00158,Jackin' Cola - Club Mix,"['Block & Crown', 'the Giver']",0.761,327097,0.86,0,0.591,5,0.0613,-4.337,0,0,2021-01-15,0.0757,123.98,0.818,2021,-1,-1,-1,-1,-1,-1
4m0RlgTYNDpJ4KPpBYsspx,0.00158,Jackin' Cola - Club Mix,"['Block & Crown', 'the Giver']",0.761,327097,0.86,0,0.591,5,0.0613,-4.337,0,0,2021-01-15,0.0757,123.98,0.818,2021,-1,-1,-1,-1,-1,-1
3wUIbgGJmYocnpklCKu9VX,0.874,happiness,['Taylor Swift'],0.546,315147,0.335,1,0,11,0.115,-10.761,1,52,2021-01-21,0.0389,121.945,0.219,2021,-1,-1,-1,-1,-1,-1
3gmDNINMDYL4ehh3I9A3YA,0.00228,Showin' Me The Way (To The Light) - Club Mix,"['Block & Crown', 'Maickel Telussa']",0.803,342581,0.819,0,0.00155,3,0.0865,-3.89,0,0,2021-01-15,0.0722,123.984,0.33,2021,-1,-1,-1,-1,-1,-1
3gmDNINMDYL4ehh3I9A3YA,0.00228,Showin' Me The Way (To The Light) - Club Mix,"['Block & Crown', 'Maickel Telussa']",0.803,342581,0.819,0,0.00155,3,0.0865,-3.89,0,0,2021-01-15,0.0722,123.984,0.33,2021,-1,-1,-1,-1,-1,-1
6RvmQShxVQwJ0AWMtP6JoU,0.794,it’s time to go,['Taylor Swift'],0.589,254640,0.409,0,1.60E-05,0,0.0901,-12.452,1,61,2021-01-21,0.0402,151.881,0.391,2021,-1,-1,-1,-1,-1,-1
7iUmO03ChCW5VZdaycM4aX,0.662,Heartless - Wallen Album Mix,['Morgan Wallen'],0.61,169613,0.641,1,0,11,0.17,-4.423,1,71,2021-01-08,0.0289,111.001,0.494,2021,-1,-1,-1,-1,-1,-1
6WqvJZloeOpM8DihbMgIRJ,0.0215,Whatcha Think Of Country Now,['Morgan Wallen'],0.523,182427,0.966,0,0,9,0.322,-4.356,1,71,2021-01-08,0.0355,145.016,0.884,2021,-1,-1,-1,-1,-1,-1
5UmCoA8uugbNcVAfKMW3P2,0.0998,Need A Boat,['Morgan Wallen'],0.54,185867,0.896,0,0,9,0.267,-6.286,1,71,2021-01-08,0.0333,160.034,0.963,2021,-1,-1,-1,-1,-1,-1
26UxwWl9xCb83OynXELJcL,0.0299,Masterpiece,['DaBaby'],0.781,181714,0.726,1,0,0,0.093,-4.213,1,76,2021-01-15,0.0836,139.988,0.436,2021,-1,-1,-1,-1,-1,-1
